channels,mean_accuracy,std_accuracy,lstm_hidden,lstm_layers,dropout,epochs
EEG.AF3,0.5622222222222223,0.08595146491472762,128,1,0.3,10
EEG.T7,0.5614814814814815,0.05835419967772186,128,1,0.3,10
EEG.Pz,0.5474074074074075,0.0655796147522707,128,1,0.3,10
EEG.T8,0.5503703703703705,0.08279745395448043,128,1,0.3,10
EEG.AF4,0.5711111111111111,0.08332592559667855,128,1,0.3,10
"EEG.AF3, EEG.T7",0.542962962962963,0.08141411356464644,128,1,0.3,10
"EEG.AF3, EEG.Pz",0.5592592592592593,0.09261333101089057,128,1,0.3,10
"EEG.AF3, EEG.T8",0.5555555555555557,0.07228202652129152,128,1,0.3,10
"EEG.AF3, EEG.AF4",0.5622222222222223,0.09787873575797885,128,1,0.3,10
"EEG.T7, EEG.Pz",0.5651851851851852,0.08157570309888122,128,1,0.3,10
"EEG.T7, EEG.T8",0.5607407407407408,0.0755192360055285,128,1,0.3,10
"EEG.T7, EEG.AF4",0.5755555555555556,0.055064496414950516,128,1,0.3,10
"EEG.Pz, EEG.T8",0.5614814814814815,0.06204560471517606,128,1,0.3,10
"EEG.Pz, EEG.AF4",0.5785185185185185,0.08127245917300295,128,1,0.3,10
"EEG.T8, EEG.AF4",0.5837037037037037,0.06821252997464497,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.Pz",0.5570370370370371,0.08906156068260229,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.T8",0.5651851851851851,0.08820726309098782,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.AF4",0.5755555555555555,0.09401864800580524,128,1,0.3,10
"EEG.AF3, EEG.Pz, EEG.T8",0.5703703703703704,0.09968400003423714,128,1,0.3,10
"EEG.AF3, EEG.Pz, EEG.AF4",0.5681481481481483,0.08151514456140614,128,1,0.3,10
"EEG.AF3, EEG.T8, EEG.AF4",0.5474074074074076,0.09303892425545233,128,1,0.3,10
"EEG.T7, EEG.Pz, EEG.T8",0.5703703703703704,0.08950404424884867,128,1,0.3,10
"EEG.T7, EEG.Pz, EEG.AF4",0.5614814814814815,0.08235891207273935,128,1,0.3,10
"EEG.T7, EEG.T8, EEG.AF4",0.5562962962962964,0.08201843280394908,128,1,0.3,10
"EEG.Pz, EEG.T8, EEG.AF4",0.5674074074074075,0.09693803261544222,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.Pz, EEG.T8",0.5577777777777778,0.07350149070462768,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.Pz, EEG.AF4",0.5614814814814815,0.08217883406434763,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.T8, EEG.AF4",0.5555555555555556,0.09401864800580524,128,1,0.3,10
"EEG.AF3, EEG.Pz, EEG.T8, EEG.AF4",0.5555555555555556,0.07723620976436785,128,1,0.3,10
"EEG.T7, EEG.Pz, EEG.T8, EEG.AF4",0.5740740740740742,0.0904007235000243,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.Pz, EEG.T8, EEG.AF4",0.5837037037037037,0.09302123007970728,128,1,0.3,10
