channels,mean_accuracy,std_accuracy,lstm_hidden,lstm_layers,dropout,epochs
EEG.AF3,0.7,0.458257569495584,128,1,0.3,10
EEG.T7,0.7096296296296296,0.4539332752523704,128,1,0.3,10
EEG.Pz,0.7007407407407408,0.4579335705174482,128,1,0.3,10
EEG.T8,0.7111111111111111,0.4532461789860253,128,1,0.3,10
EEG.AF4,0.6859259259259259,0.4641460439006101,128,1,0.3,10
"EEG.AF3, EEG.T7",0.6933333333333334,0.4611097724210822,128,1,0.3,10
"EEG.AF3, EEG.Pz",0.6651851851851852,0.47192568757733044,128,1,0.3,10
"EEG.AF3, EEG.T8",0.7133333333333334,0.45220447685630993,128,1,0.3,10
"EEG.AF3, EEG.AF4",0.7118518518518518,0.45290042268355307,128,1,0.3,10
"EEG.T7, EEG.Pz",0.7074074074074074,0.4549529287217939,128,1,0.3,10
"EEG.T7, EEG.T8",0.7103703703703703,0.45359046205826814,128,1,0.3,10
"EEG.T7, EEG.AF4",0.6918518518518518,0.46172813098295745,128,1,0.3,10
"EEG.Pz, EEG.T8",0.6992592592592592,0.45858014304966505,128,1,0.3,10
"EEG.Pz, EEG.AF4",0.6807407407407408,0.46618964449726713,128,1,0.3,10
"EEG.T8, EEG.AF4",0.6925925925925925,0.4614196498616673,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.Pz",0.7037037037037037,0.45662325947918336,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.T8",0.7022222222222222,0.4572812841561594,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.AF4",0.7118518518518518,0.45290042268355307,128,1,0.3,10
"EEG.AF3, EEG.Pz, EEG.T8",0.6866666666666666,0.46384863431463885,128,1,0.3,10
"EEG.AF3, EEG.Pz, EEG.AF4",0.6977777777777778,0.4592210258876263,128,1,0.3,10
"EEG.AF3, EEG.T8, EEG.AF4",0.7155555555555555,0.4511494236604274,128,1,0.3,10
"EEG.T7, EEG.Pz, EEG.T8",0.7125925925925926,0.4525531897741523,128,1,0.3,10
"EEG.T7, EEG.Pz, EEG.AF4",0.6985185185185185,0.4589012941855935,128,1,0.3,10
"EEG.T7, EEG.T8, EEG.AF4",0.702962962962963,0.4569529906514399,128,1,0.3,10
"EEG.Pz, EEG.T8, EEG.AF4",0.6866666666666666,0.46384863431463885,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.Pz, EEG.T8",0.7,0.458257569495584,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.Pz, EEG.AF4",0.7103703703703703,0.45359046205826814,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.T8, EEG.AF4",0.717037037037037,0.4504385913242601,128,1,0.3,10
"EEG.AF3, EEG.Pz, EEG.T8, EEG.AF4",0.6866666666666666,0.46384863431463885,128,1,0.3,10
"EEG.T7, EEG.Pz, EEG.T8, EEG.AF4",0.705925925925926,0.4556254086764148,128,1,0.3,10
"EEG.AF3, EEG.T7, EEG.Pz, EEG.T8, EEG.AF4",0.7229629629629629,0.4475349339959691,128,1,0.3,10
