subject;AF3;AF3+AF4;AF3+Pz;AF3+Pz+AF4;AF3+Pz+T8;AF3+Pz+T8+AF4;AF3+T7;AF3+T7+AF4;AF3+T7+Pz;AF3+T7+Pz+AF4;AF3+T7+Pz+T8;AF3+T7+Pz+T8+AF4;AF3+T7+T8;AF3+T7+T8+AF4;AF3+T8;AF3+T8+AF4;AF4;Pz;Pz+AF4;Pz+T8;Pz+T8+AF4;T7;T7+AF4;T7+Pz;T7+Pz+AF4;T7+Pz+T8;T7+Pz+T8+AF4;T7+T8;T7+T8+AF4;T8;T8+AF4;best Accuracy;Best channel
S01;0,4;0,3;0,18;0,3;0,24;0,34;0,28;0,36;0,22;0,28;0,38;0,3;0,3;0,32;0,32;0,36;0,2;0,22;0,18;0,34;0,24;0,28;0,22;0,26;0,26;0,34;0,32;0,26;0,34;0,46;0,28;0,46;T8
S02;0,68;0,74;0,64;0,66;0,66;0,64;0,56;0,7;0,64;0,6;0,5;0,64;0,54;0,68;0,64;0,72;0,7;0,38;0,64;0,52;0,62;0,48;0,56;0,48;0,66;0,54;0,64;0,4;0,56;0,54;0,64;0,74;AF4
S03;0,52;0,54;0,52;0,48;0,4;0,58;0,52;0,44;0,54;0,52;0,5;0,64;0,7;0,56;0,64;0,54;0,54;0,38;0,46;0,36;0,38;0,3;0,4;0,38;0,44;0,44;0,52;0,58;0,48;0,5;0,42;0,7;AF4
S04;0,32;0,36;0,28;0,28;0,24;0,3;0,32;0,38;0,34;0,28;0,3;0,38;0,28;0,28;0,34;0,44;0,36;0,32;0,26;0,48;0,28;0,62;0,42;0,4;0,32;0,46;0,24;0,58;0,44;0,48;0,3;0,62;T7
S05;0,34;0,48;0,36;0,4;0,44;0,34;0,58;0,48;0,42;0,36;0,58;0,5;0,66;0,66;0,36;0,52;0,52;0,32;0,32;0,38;0,34;0,56;0,58;0,4;0,44;0,6;0,58;0,7;0,74;0,44;0,34;0,74;T7+T8+AF4
S06;0,38;0,3;0,38;0,36;0,5;0,48;0,4;0,34;0,28;0,42;0,56;0,42;0,5;0,38;0,34;0,42;0,36;0,58;0,38;0,52;0,5;0,32;0,34;0,38;0,3;0,52;0,54;0,56;0,4;0,54;0,36;0,58;Pz
S07;0,72;0,76;0,74;0,46;0,56;0,44;0,78;0,68;0,62;0,46;0,6;0,46;0,68;0,68;0,82;0,7;0,72;0,54;0,52;0,48;0,44;0,64;0,58;0,7;0,42;0,56;0,48;0,58;0,7;0,58;0,66;0,82;AF3+T8
S08;0,6;0,48;0,58;0,46;0,5;0,4;0,54;0,54;0,44;0,44;0,46;0,46;0,5;0,42;0,58;0,58;0,58;0,34;0,42;0,34;0,5;0,4;0,38;0,24;0,32;0,2;0,3;0,4;0,4;0,44;0,4;0,6;AF3
S09;0,6;0,66;0,9;0,76;0,84;0,88;0,84;0,8;0,94;0,9;0,98;0,9;0,86;0,9;0,7;0,7;0,64;0,88;0,94;0,94;0,88;0,96;0,82;0,96;0,86;1;0,96;1;0,94;0,9;0,7;1;T7+Pz+T8
S10;0,54;0,66;0,54;0,58;0,6;0,56;0,6;0,66;0,5;0,54;0,56;0,62;0,58;0,6;0,58;0,54;0,6;0,46;0,6;0,58;0,62;0,62;0,66;0,6;0,56;0,56;0,6;0,5;0,56;0,54;0,58;0,66;T7
