Channel;SVM-Lin;SVM-RBF;kNN-3;kNN-5;NB;LDA
AF3;0.484;0.488;0.484;0.484;0.479;0.492
AF3+AF4;0.561;0.563;0.528;0.542;0.559;0.567
AF3+Pz;0.747;0.728;0.696;0.700;0.733;0.752
AF3+Pz+AF4;0.534;0.541;0.505;0.520;0.524;0.535
AF3+Pz+T8;0.644;0.650;0.591;0.609;0.650;0.637
AF3+Pz+T8+AF4;0.505;0.566;0.517;0.529;0.516;0.516
AF3+T7;0.746;0.739;0.664;0.688;0.726;0.736
AF3+T7+AF4;0.533;0.496;0.508;0.516;0.510;0.531
AF3+T7+Pz;0.664;0.661;0.615;0.612;0.665;0.672
AF3+T7+Pz+AF4;0.593;0.607;0.556;0.570;0.561;0.592
AF3+T7+Pz+T8;0.651;0.653;0.596;0.606;0.623;0.652
AF3+T7+Pz+T8+AF4;0.523;0.555;0.528;0.527;0.507;0.539
AF3+T7+T8;0.664;0.669;0.597;0.609;0.662;0.656
AF3+T7+T8+AF4;0.550;0.546;0.527;0.527;0.510;0.544
AF3+T8;0.747;0.731;0.661;0.663;0.727;0.741
AF3+T8+AF4;0.524;0.523;0.528;0.543;0.523;0.536
AF4;0.484;0.487;0.510;0.505;0.499;0.499
Pz;0.525;0.515;0.509;0.504;0.527;0.530
Pz+AF4;0.743;0.741;0.701;0.715;0.756;0.737
Pz+T8;0.607;0.587;0.516;0.527;0.561;0.599
Pz+T8+AF4;0.661;0.653;0.633;0.653;0.683;0.658
T7;0.469;0.476;0.490;0.499;0.432;0.467
T7+AF4;0.750;0.733;0.700;0.702;0.750;0.746
T7+Pz;0.631;0.635;0.571;0.570;0.576;0.625
T7+Pz+AF4;0.670;0.655;0.595;0.620;0.684;0.673
T7+Pz+T8;0.517;0.521;0.500;0.486;0.510;0.530
T7+Pz+T8+AF4;0.604;0.625;0.587;0.583;0.633;0.617
T7+T8;0.535;0.528;0.479;0.476;0.493;0.547
T7+T8+AF4;0.664;0.660;0.634;0.641;0.679;0.657
T8;0.433;0.496;0.481;0.472;0.498;0.441
T8+AF4;0.744;0.739;0.671;0.680;0.750;0.748
