;SVM_Linear;SVM_RBF;kNN_3;kNN_5;NB;LDA
S01;66;60;52;58;64;52
S02;58;58;58;48;54;54
S03;60;58;60;56;58;56
S04;68;68;66;58;76;62
S05;58;66;58;64;54;54
S06;56;54;64;70;60;60
S07;70;76;58;60;50;58
S08;58;60;60;62;54;54
S09;34;34;56;54;48;40
S10;64;72;66;60;60;66
S11;52;56;62;68;56;62
S12;66;72;68;64;96;64
S13;74;64;66;68;56;72
S14;54;80;58;58;64;54
S15;58;54;56;58;54;58
S16;66;72;46;54;56;68
S17;66;58;68;66;58;64
S18;66;70;56;64;74;66
S19;54;60;62;64;48;56
S20;76;74;60;58;80;72
S21;70;58;60;56;66;62
S22;72;62;62;62;78;66
S23;56;66;62;62;58;54
S24;56;56;58;62;52;58
S25;54;68;68;60;60;62
S26;58;58;54;58;60;54
S27;60;50;62;64;52;60
