subject;C1;C2;C3;C4;C5;C1+C2;C1+C3;C1+C4;C1+C5;C2+C3;C2+C4;C3+C4;C2+C5;C3+C5;C4+C5;C1+C2+C3;C1+C2+C4;C1+C2+C5;C1+C3+C4;C1+C3+C5;C1+C4+C5;C2+C3+C4;C2+C3+C5;C2+C4+C5;C3+C4+C5;C1+C2+C3+C4;C1+C2+C3+C5;C1+C2+C4+C5;C1+C3+C4+C5;C2+C3+C4+C5;C1+C2+C3+C4+C5
S01;0,6;0,74;0,48;0,56;0,74;0,96;0,98;0,94;0,38;0,9;0,6;0,88;0,94;0,98;0,9;0,82;0,8;0,64;0,74;0,58;0,52;0,54;0,8;0,82;0,8;0,84;0,86;0,48;0,78;0,74;0,34
S02;0,94;0,88;0,8;0,82;0,96;0,62;0,8;0,46;0,52;0,48;0,54;0,54;0,78;0,86;0,84;0,72;0,78;0,54;0,72;0,62;0,62;0,58;0,6;0,62;0,68;0,58;0,52;0,62;0,54;0,54;0,54
S03;0,5;0,58;0,6;0,52;0,46;0,98;0,98;1;0,54;0,58;0,52;0,94;1;0,98;1;0,82;0,8;0,56;0,76;0,56;0,54;0,48;0,86;0,8;0,76;0,72;0,68;0,48;0,68;0,72;0,46
S04;0,76;0,88;0,82;0,88;0,76;0,82;0,94;0,96;0,32;0,88;0,48;0,92;0,88;0,98;0,98;0,9;0,9;0,54;0,74;0,28;0,52;0,52;0,82;0,78;0,92;0,8;0,68;0,46;0,72;0,66;0,4
S05;0,44;0,74;0,46;0,54;0,52;1;1;0,96;0,36;0,9;0,72;0,94;1;1;0,96;0,82;0,78;0,44;0,8;0,32;0,48;0,52;0,82;0,8;0,86;0,76;0,7;0,56;0,62;0,92;0,36
S06;0,52;0,44;0,62;0,68;0,5;0,92;1;0,96;0,58;0,84;0,56;0,88;0,94;0,96;0,96;0,82;0,86;0,48;0,84;0,46;0,66;0,46;0,74;0,74;0,88;0,84;0,72;0,42;0,78;0,72;0,56
S07;0,78;0,82;0,62;0,76;0,72;0,84;0,94;0,96;0,66;0,7;0,5;0,74;0,82;0,78;0,86;0,9;0,82;0,54;0,86;0,62;0,48;0,58;0,74;0,8;0,76;0,7;0,56;0,56;0,7;0,68;0,38
S08;0,74;0,62;0,54;0,54;0,54;0,96;0,98;0,98;0,94;0,8;0,94;0,9;0,96;0,96;0,94;0,78;0,88;0,84;0,84;0,86;0,82;0,82;0,86;0,84;0,82;0,8;0,88;0,98;0,96;0,96;0,8
S09;0,9;0,98;1;0,92;0,94;0,88;0,86;0,82;0,52;0,62;0,44;0,44;0,84;0,88;0,82;0,86;0,8;0,8;0,76;0,74;0,68;0,54;0,72;0,72;0,78;0,74;0,48;0,44;0,6;0,62;0,52
S10;0,6;0,52;0,76;0,5;0,74;1;1;1;0,32;0,9;0,86;0,92;1;1;1;0,88;0,86;0,4;0,9;0,58;0,44;0,88;0,92;0,82;0,88;0,94;0,74;0,68;0,76;0,94;0,56
S11;0,7;0,52;0,5;0,38;0,8;1;1;1;0,56;0,78;0,62;0,82;1;1;1;0,84;0,82;0,6;0,78;0,6;0,54;0,38;0,86;0,8;0,78;0,7;0,52;0,48;0,6;0,78;0,5
S12;0,6;0,92;0,96;0,92;0,6;0,98;0,96;0,96;0,54;0,94;0,54;0,96;0,98;0,96;0,98;0,96;0,86;0,68;0,9;0,66;0,46;0,64;0,96;0,78;0,94;0,62;0,82;0,64;0,76;0,78;0,48
S13;0,78;0,56;0,8;0,96;0,8;0,98;1;0,98;0,34;0,82;0,68;0,74;0,96;1;1;0,84;0,8;0,4;0,78;0,4;0,58;0,5;0,72;0,82;0,72;0,8;0,7;0,54;0,7;0,74;0,5
S14;0,36;0,74;0,62;0,5;0,74;0,92;0,96;0,96;0,58;0,84;0,86;0,58;0,84;0,96;0,98;0,8;0,96;0,62;0,8;0,48;0,62;0,78;0,82;0,72;0,8;0,92;0,58;0,72;0,34;0,72;0,6
S15;0,46;0,64;0,8;0,84;0,42;0,92;0,94;0,94;0,46;0,76;0,78;0,52;0,86;0,86;0,92;0,7;0,66;0,46;0,68;0,48;0,56;0,44;0,84;0,88;0,82;0,72;0,58;0,38;0,52;0,54;0,46
S16;0,66;0,4;0,58;0,62;0,8;1;0,98;0,98;0,66;0,86;0,62;0,5;1;0,98;0,96;0,78;0,78;0,58;0,76;0,66;0,52;0,5;0,82;0,8;0,78;0,8;0,7;0,78;0,34;0,66;0,62
S17;0,56;0,52;0,7;0,7;0,62;0,88;0,86;0,88;0,34;0,34;0,46;0,32;0,86;0,86;0,82;0,7;0,76;0,42;0,72;0,42;0,48;0,44;0,78;0,78;0,78;0,5;0,44;0,56;0,52;0,66;0,48
S18;0,68;0,78;0,82;0,9;0,64;0,92;1;1;0,5;0,74;0,9;0,92;0,96;1;1;0,9;0,88;0,7;0,88;0,8;0,78;0,84;0,92;1;0,96;0,86;0,72;0,88;0,88;0,92;0,84
S19;0,62;0,56;0,46;0,64;0,66;0,94;0,92;0,94;0,56;0,5;0,6;0,62;0,92;0,84;0,84;0,74;0,72;0,52;0,78;0,56;0,4;0,56;0,82;0,72;0,68;0,64;0,6;0,58;0,68;0,8;0,44
S20;0,5;0,46;0,8;0,62;0,38;0,9;0,9;0,92;0,44;0,8;0,62;0,64;0,96;0,86;0,96;0,52;0,54;0,68;0,82;0,62;0,52;0,48;0,64;0,6;0,58;0,68;0,66;0,44;0,58;0,56;0,46
S21;0,64;0,6;0,86;0,78;0,52;0,88;0,86;0,88;0,66;0,8;0,78;0,44;0,88;0,92;0,94;0,78;0,82;0,64;0,76;0,64;0,5;0,7;0,8;0,8;0,86;0,82;0,72;0,7;0,64;0,68;0,52
S22;0,74;0,88;0,92;0,86;0,68;0,96;0,9;0,88;0,52;0,94;0,98;0,94;0,96;0,92;0,86;0,9;0,9;0,48;0,84;0,4;0,6;0,88;0,9;0,78;0,84;0,82;0,66;0,62;0,72;0,94;0,56
S23;0,4;0,54;0,54;0,46;0,68;0,92;0,96;0,94;0,9;0,86;0,7;0,94;0,94;0,96;0,96;0,78;0,82;0,76;0,84;0,86;0,72;0,66;0,9;0,8;0,84;0,72;0,98;0,82;0,92;0,64;0,68
S24;0,62;0,72;0,64;0,62;0,6;0,98;1;1;0,8;0,94;0,96;0,32;1;1;1;0,86;0,86;0,84;0,84;0,7;0,72;0,78;0,86;0,9;0,82;1;0,84;0,84;0,48;0,7;0,74
S25;0,92;0,8;0,96;0,94;0,88;1;1;1;1;0,64;0,74;0,72;1;1;1;0,9;0,9;0,92;0,96;0,92;0,96;0,74;0,94;0,84;0,86;0,78;0,7;0,68;0,7;0,76;0,72
S26;0,4;0,82;0,72;0,88;0,54;0,78;0,8;0,76;0,4;0,62;0,5;0,56;0,7;0,62;0,68;0,8;0,66;0,64;0,48;0,52;0,66;0,56;0,74;0,8;0,72;0,58;0,5;0,36;0,34;0,6;0,44
S27;0,84;0,62;0,84;0,88;0,8;0,92;0,9;0,82;0,6;0,68;0,44;0,46;0,96;0,92;0,88;0,78;0,76;0,54;0,8;0,64;0,64;0,56;0,68;0,68;0,76;0,64;0,44;0,42;0,54;0,66;0,52
average;0,639259259;0,677037037;0,711851852;0,711851852;0,668148148;0,920740741;0,941481481;0,921481481;0,555555556;0,757777778;0,664444444;0,707407407;0,923703704;0,927407407;0,927407407;0,811111111;0,806666667;0,602222222;0,791851852;0,591851852;0,593333333;0,605925926;0,81037037;0,786666667;0,802962963;0,752592593;0,665925926;0,597037037;0,644444444;0,727407407;0,536296296
std;0,159488208;0,158483901;0,159838739;0,171205682;0,149790892;0,082278926;0,060840027;0,109263653;0,181216738;0,152833323;0,165492158;0,209772233;0,076987163;0,085573992;0,077583532;0,086295502;0,086238257;0,138813313;0,087476432;0,157410457;0,125786415;0,143378785;0,088839492;0,078693028;0,082498701;0,113939314;0,135079106;0,160342569;0,159195508;0,119894787;0,126026104
