;AF3;T7;Pz;T8;AF4;AF3+T7;AF3+Pz;AF3+T8;AF3+AF4;T7+Pz;T7+T8;T7+AF4;Pz+T8;Pz+AF4;T8+AF4;AF3+T7+Pz;AF3+T7+T8;AF3+T7+AF4;AF3+Pz+T8;AF3+Pz+AF4;AF3+T8+AF4;T7+Pz+T8;T7+Pz+AF4;T7+T8+AF4;Pz+T8+AF4;AF3+T7+Pz+T8;AF3+T7+Pz+AF4;AF3+T7+T8+AF4;AF3+Pz+T8+AF4;T7+Pz+T8+AF4;AF3+T7+Pz+T8+AF4;BestAccuracy;BestChannel
S01;0,48;0,36;0,48;0,52;0,62;0,9;0,96;0,8;0,54;0,88;0,58;0,86;0,88;0,94;0,84;0,78;0,82;0,58;0,82;0,58;0,58;0,46;0,8;0,84;0,84;0,74;0,62;0,46;0,74;0,76;0,46;0,96;AF3+Pz
S02;0,42;0,4;0,56;0,56;0,56;0,72;0,8;0,68;0,64;0,74;0,8;0,64;0,64;0,66;0,6;0,52;0,58;0,4;0,56;0,52;0,54;0,64;0,5;0,6;0,7;0,62;0,66;0,56;0,5;0,68;0,5;0,8;AF3+Pz
S03;0,46;0,64;0,5;0,46;0,48;0,98;0,92;0,98;0,48;0,84;0,58;0,98;0,72;0,98;0,98;0,78;0,78;0,5;0,8;0,44;0,48;0,52;0,82;0,82;0,76;0,84;0,66;0,56;0,68;0,7;0,54;0,98;AF3+T7
S04;0,6;0,18;0,52;0,34;0,5;0,08;0,22;0,16;0,52;0,06;0,6;0,16;0,22;0,1;0,1;0,4;0,34;0,56;0,24;0,54;0,62;0,56;0,22;0,28;0,22;0,28;0,5;0,5;0,32;0,34;0,56;0,62;AF3+T8+AF4
S05;0,62;0,56;0,58;0,48;0,6;0,88;0,98;0,98;0,62;0,78;0,5;0,98;0,78;0,94;0,94;0,78;0,78;0,42;0,8;0,46;0,48;0,5;0,84;0,88;0,8;0,76;0,64;0,6;0,64;0,8;0,56;0,98;AF3+Pz
S06;0,5;0,46;0,52;0,72;0,54;0,78;0,94;0,94;0,6;0,8;0,38;0,76;0,6;0,88;0,88;0,76;0,78;0,62;0,8;0,62;0,66;0,48;0,68;0,62;0,9;0,8;0,64;0,54;0,58;0,64;0,44;0,94;AF3+Pz
S07;0,28;0,54;0,6;0,64;0,66;0,8;0,88;0,86;0,6;0,78;0,56;0,8;0,68;0,82;0,82;0,7;0,72;0,68;0,72;0,6;0,84;0,62;0,74;0,76;0,76;0,72;0,86;0,62;0,7;0,66;0,68;0,88;AF3+Pz
S08;0,36;0,48;0,54;0,54;0,5;0,48;0,54;0,58;0,84;0,68;0,5;0,62;0,5;0,86;0,8;0,74;0,58;0,84;0,58;0,82;0,82;0,52;0,84;0,62;0,78;0,7;0,72;0,68;0,56;0,78;0,54;0,86;Pz+AF4
S09;0,14;0,22;0,02;0,06;0,48;0,86;0,84;0,86;0,66;0,52;0,48;0,86;0,5;0,74;0,82;0,58;0,76;0,46;0,74;0,42;0,4;0,46;0,7;0,68;0,56;0,66;0,56;0,54;0,58;0,62;0,44;0,86;AF3+T7
S10;0,56;0,48;0,48;0,62;0,68;0,98;0,98;1;0,5;0,88;0,62;1;0,9;1;1;0,82;0,84;0,56;0,84;0,58;0,58;0,82;0,84;0,8;0,88;0,84;0,76;0,5;0,62;0,76;0,68;1;AF3+T8
S11;0,62;0,48;0,4;0,5;0,54;0,92;1;1;0,5;0,82;0,6;0,96;0,86;0,88;0,78;0,82;0,76;0,38;0,82;0,52;0,42;0,6;0,8;0,9;0,86;0,74;0,68;0,58;0,54;0,72;0,56;1;AF3+Pz
S12;0,64;0,46;0,58;0,46;0,58;0,76;0,9;0,9;0,54;0,8;0,46;0,82;0,68;0,86;0,82;0,64;0,46;0,68;0,66;0,72;0,66;0,46;0,88;0,86;0,82;0,66;0,62;0,48;0,76;0,64;0,54;0,9;AF3+Pz
S13;0,52;0,46;0,6;0,44;0,52;0,9;0,82;0,94;0,7;0,64;0,48;0,74;0,68;0,78;0,8;0,68;0,82;0,46;0,86;0,6;0,6;0,36;0,74;0,74;0,7;0,66;0,5;0,52;0,68;0,74;0,52;0,94;AF3+T8
S14;0,44;0,26;0,56;0,62;0,4;0,16;0,04;0,14;0,5;0,46;0,16;0,24;0,44;0,04;0,12;0,28;0,26;0,5;0,18;0,52;0,48;0,54;0,2;0,22;0,28;0,46;0,44;0,5;0,44;0,26;0,56;0,62;T8
S15;0,5;0,52;0,52;0,4;0,46;0,86;0,9;0,82;0,46;0,78;0,38;0,82;0,66;0,9;0,84;0,8;0,78;0,5;0,42;0,5;0,6;0,54;0,78;0,6;0,64;0,7;0,58;0,44;0,58;0,62;0,48;0,9;AF3+Pz
S16;0,5;0,48;0,52;0,48;0,6;0,82;0,92;0,98;0,7;0,54;0,48;0,94;0,54;0,68;0,78;0,76;0,82;0,54;0,76;0,64;0,52;0,64;0,86;0,8;0,8;0,7;0,6;0,44;0,64;0,62;0,46;0,98;AF3+T8
S17;0,48;0,48;0,46;0,46;0,36;0,86;0,64;0,9;0,48;0,5;0,52;0,88;0,52;0,86;0,88;0,62;0,72;0,58;0,7;0,48;0,52;0,6;0,82;0,8;0,56;0,52;0,5;0,56;0,42;0,66;0,54;0,9;AF3+T8
S18;0,42;0,52;0,56;0,38;0,54;0,78;0,54;0,72;0,72;0,52;0,56;0,78;0,5;0,58;0,94;0,52;0,62;0,74;0,8;0,68;0,64;0,68;0,8;0,6;0,58;0,7;0,5;0,5;0,54;0,52;0,46;0,94;T8+AF4
S19;0,46;0,5;0,46;0,48;0,58;0,96;0,92;0,88;0,52;0,62;0,58;0,96;0,56;0,86;0,94;0,8;0,76;0,48;0,74;0,46;0,46;0,66;0,74;0,76;0,74;0,74;0,7;0,64;0,46;0,74;0,54;0,96;AF3+T7
S20;0,56;0,44;0,72;0,64;0,44;0,66;0,68;0,56;0,48;0,52;0,52;0,56;0,62;0,56;0,56;0,62;0,6;0,5;0,6;0,54;0,58;0,46;0,56;0,62;0,7;0,58;0,46;0,54;0,44;0,6;0,48;0,72;Pz
S21;0,48;0,58;0,38;0,48;0,48;0,98;0,82;0,96;0,72;0,5;0,6;0,94;0,5;0,88;0,94;0,78;0,8;0,5;0,78;0,68;0,6;0,44;0,76;0,74;0,76;0,72;0,56;0,48;0,62;0,76;0,56;0,98;AF3+T7
S22;0,52;0,4;0,66;0,5;0,36;0,16;0,26;0,24;0,5;0,42;0,32;0,14;0,44;0,28;0,3;0,44;0,38;0,62;0,44;0,52;0,48;0,42;0,28;0,24;0,28;0,4;0,48;0,48;0,34;0,16;0,5;0,66;Pz
S23;0,48;0,48;0,58;0,64;0,5;0,94;0,96;0,96;0,46;0,82;0,44;0,94;0,9;0,98;0,98;0,76;0,82;0,44;0,78;0,5;0,5;0,52;0,82;0,82;0,84;0,72;0,58;0,44;0,7;0,62;0,38;0,98;Pz+AF4
S24;0,48;0,5;0,46;0,4;0,48;1;1;0,98;0,56;0,9;0,5;1;0,38;0,96;0,96;0,76;0,84;0,42;0,74;0,52;0,44;0,58;0,84;0,82;0,84;0,92;0,88;0,36;0,58;0,64;0,42;1;AF3+T7
S25;0,58;0,5;0,64;0,4;0,48;0,1;0,1;0,02;0,64;0,28;0,42;0,14;0,32;0,14;0,1;0,32;0,22;0,46;0,26;0,42;0,24;0,58;0,26;0,26;0,24;0,22;0,42;0,48;0,4;0,4;0,52;0,64;Pz
S26;0,36;0,44;0,36;0,18;0,58;0,26;0,22;0,3;0,36;0,34;0,38;0,18;0,24;0,38;0,34;0,38;0,44;0,42;0,34;0,3;0,36;0,38;0,18;0,14;0,3;0,42;0,28;0,42;0,48;0,28;0,46;0,58;AF4
S27;0,58;0,46;0,44;0,32;0,4;0,88;0,78;0,74;0,56;0,44;0,68;0,9;0,44;0,86;0,76;0,8;0,8;0,5;0,58;0,56;0,44;0,62;0,74;0,74;0,6;0,62;0,4;0,5;0,48;0,82;0,48;0,9;T7+AF4
average;0,482962963;0,454814815;0,507407407;0,471111111;0,515555556;0,720740741;0,724444444;0,736296296;0,57037037;0,624444444;0,506666667;0,725925926;0,581481481;0,718518519;0,726666667;0,653333333;0,662222222;0,531111111;0,642962963;0,545925926;0,538518519;0,542962963;0,668148148;0,65037037;0,657037037;0,645925926;0,585185185;0,515555556;0,556296296;0,612592593;0,513333333;0,736296296;AF3+T8
std;0,107179836;0,100161735;0,126039165;0,139770535;0,081710117;0,293206108;0,294459119;0,296399982;0,104189339;0,208368145;0,121228282;0,28745704;0,18434476;0,280999588;0,277875538;0,163117772;0,186772457;0,10795518;0,198042547;0,104394524;0,126013042;0,100030174;0,22602912;0,220394957;0,209245821;0,163916403;0,134174303;0,069991181;0,116877528;0,17240333;0,067330033;0,133263356;
