Channel;SVM-Lin;SVM-RBF;kNN-3;kNN-5;NB;LDA
AF3;0,696;0,669;0,662;0,664;0,675;0,696
AF3+AF4;0,627;0,466;0,453;0,48;0,537;0,614
AF3+Pz;0,952;0,937;0,933;0,93;0,928;0,919
AF3+Pz+AF4;0,641;0,553;0,633;0,644;0,532;0,533
AF3+Pz+T8;0,769;0,804;0,801;0,809;0,777;0,585
AF3+Pz+T8+AF4;0,621;0,592;0,665;0,644;0,54;0,565
AF3+T7;0,927;0,924;0,915;0,908;0,904;0,874
AF3+T7+AF4;0,665;0,575;0,613;0,604;0,545;0,559
AF3+T7+Pz;0,83;0,806;0,804;0,809;0,801;0,636
AF3+T7+Pz+AF4;0,704;0,652;0,684;0,661;0,602;0,654
AF3+T7+Pz+T8;0,768;0,768;0,757;0,773;0,742;0,707
AF3+T7+Pz+T8+AF4;0,539;0,401;0,496;0,518;0,438;0,534
AF3+T7+T8;0,777;0,8;0,787;0,793;0,799;0,625
AF3+T7+T8+AF4;0,625;0,617;0,658;0,622;0,527;0,577
AF3+T8;0,917;0,936;0,933;0,924;0,917;0,866
AF3+T8+AF4;0,651;0,57;0,633;0,619;0,532;0,527
AF4;0,706;0,679;0,653;0,647;0,642;0,693
Pz;0,724;0,742;0,712;0,708;0,71;0,728
Pz+AF4;0,926;0,936;0,924;0,927;0,93;0,885
Pz+T8;0,8;0,723;0,685;0,701;0,721;0,767
Pz+T8+AF4;0,82;0,819;0,823;0,82;0,803;0,634
T7;0,719;0,687;0,673;0,7;0,671;0,711
T7+AF4;0,922;0,928;0,92;0,923;0,914;0,848
T7+Pz;0,852;0,796;0,753;0,779;0,764;0,85
T7+Pz+AF4;0,799;0,811;0,804;0,801;0,781;0,619
T7+Pz+T8;0,644;0,647;0,648;0,653;0,615;0,548
T7+Pz+T8+AF4;0,759;0,726;0,744;0,749;0,707;0,636
T7+T8;0,739;0,699;0,669;0,672;0,667;0,691
T7+T8+AF4;0,795;0,801;0,796;0,796;0,779;0,642
T8;0,747;0,724;0,703;0,715;0,719;0,736
T8+AF4;0,92;0,939;0,924;0,923;0,924;0,854
Best;0,952;0,939;0,933;0,93;0,93;0,919
BestChannel;AF3+Pz;T8+AF4;AF3+Pz;AF3+Pz;Pz+AF4;AF3+Pz
