Channel;SVM-Lin;SVM-RBF;kNN-3;kNN-5;NB;LDA
AF3;0,487;0,482;0,522;0,51;0,479;0,492
AF3+AF4;0,566;0,565;0,533;0,533;0,559;0,567
AF3+Pz;0,744;0,746;0,716;0,721;0,733;0,752
AF3+Pz+AF4;0,536;0,57;0,518;0,524;0,524;0,535
AF3+Pz+T8;0,65;0,65;0,587;0,61;0,65;0,637
AF3+Pz+T8+AF4;0,527;0,567;0,523;0,519;0,516;0,516
AF3+T7;0,747;0,736;0,683;0,693;0,726;0,736
AF3+T7+AF4;0,539;0,514;0,516;0,524;0,51;0,531
AF3+T7+Pz;0,67;0,687;0,616;0,636;0,665;0,672
AF3+T7+Pz+AF4;0,593;0,601;0,566;0,539;0,561;0,592
AF3+T7+Pz+T8;0,661;0,642;0,59;0,599;0,623;0,652
AF3+T7+Pz+T8+AF4;0,534;0,555;0,487;0,493;0,507;0,539
AF3+T7+T8;0,675;0,675;0,578;0,602;0,662;0,656
AF3+T7+T8+AF4;0,556;0,528;0,507;0,487;0,51;0,544
AF3+T8;0,743;0,73;0,653;0,664;0,727;0,741
AF3+T8+AF4;0,527;0,537;0,504;0,524;0,523;0,536
AF4;0,5;0,513;0,494;0,496;0,499;0,499
Pz;0,546;0,538;0,513;0,491;0,527;0,53
Pz+AF4;0,747;0,757;0,731;0,719;0,756;0,737
Pz+T8;0,611;0,596;0,544;0,531;0,561;0,599
Pz+T8+AF4;0,665;0,674;0,621;0,636;0,683;0,658
T7;0,481;0,488;0,486;0,488;0,432;0,467
T7+AF4;0,753;0,754;0,688;0,704;0,75;0,746
T7+Pz;0,64;0,645;0,575;0,602;0,576;0,625
T7+Pz+AF4;0,679;0,673;0,63;0,639;0,684;0,673
T7+Pz+T8;0,537;0,516;0,511;0,501;0,51;0,53
T7+Pz+T8+AF4;0,62;0,649;0,586;0,606;0,633;0,617
T7+T8;0,536;0,529;0,477;0,479;0,493;0,547
T7+T8+AF4;0,672;0,671;0,597;0,619;0,679;0,657
T8;0,427;0,47;0,481;0,49;0,498;0,441
T8+AF4;0,748;0,749;0,667;0,679;0,75;0,748
Best;0,753;0,757;0,731;0,721;0,756;0,752
BestChannel;T7+AF4;Pz+AF4;Pz+AF4;AF3+Pz;Pz+AF4;AF3+Pz
