;SVM_Linear;SVM_RBF;kNN_3;kNN_5;NB;LDA
S01;78;80;76;80;72;74
S02;100;96;96;94;98;100
S03;72;72;66;68;76;70
S04;90;84;88;90;80;88
S05;72;74;68;72;74;70
S06;80;66;62;62;68;72
S07;86;88;80;88;86;78
S08;72;76;68;72;78;68
S09;100;100;100;100;100;100
S10;86;80;78;78;78;80
S11;84;74;74;74;66;78
S12;98;96;96;96;96;92
S13;100;96;96;94;98;100
S14;76;76;78;76;78;80
S15;86;86;72;74;82;86
S16;78;74;64;70;64;80
S17;76;60;62;58;62;72
S18;92;94;88;92;94;94
S19;74;62;58;62;58;68
S20;70;80;78;78;80;66
S21;90;90;86;84;84;82
S22;100;90;88;88;90;88
S23;74;76;68;68;60;62
S24;76;68;68;70;72;72
S25;100;96;88;90;98;100
S26;90;92;96;94;94;90
S27;90;92;92;88;88;94
