;SVM_Linear;SVM_RBF;kNN_3;kNN_5;NB;LDA
S01;56;62;58;66;64;52
S02;56;66;60;60;54;54
S03;58;60;64;58;58;56
S04;64;48;64;54;76;62
S05;56;66;54;62;54;54
S06;62;64;64;58;60;60
S07;60;70;62;64;50;58
S08;54;56;52;54;54;54
S09;42;36;52;56;48;40
S10;58;72;66;70;60;66
S11;56;68;58;64;56;62
S12;62;66;58;56;96;64
S13;68;62;56;62;56;72
S14;56;74;64;62;64;54
S15;56;56;54;54;54;58
S16;64;56;54;58;56;68
S17;66;60;52;58;58;64
S18;66;64;60;62;74;66
S19;54;60;56;56;48;56
S20;68;80;60;56;80;72
S21;60;64;60;60;66;62
S22;68;76;60;58;78;66
S23;56;60;60;60;58;54
S24;56;50;56;54;52;58
S25;66;62;52;56;60;62
S26;52;52;60;58;60;54
S27;58;56;58;52;52;60
