test_subject,C1,C2,C3,C4,C5,C6
1,50.0,50.4,43.6,48.0,56.0,48.0
2,47.6,52.8,50.0,40.0,48.8,49.2
3,50.8,53.6,50.4,49.2,49.2,50.4
4,53.2,41.6,45.6,44.0,54.0,52.8
5,51.6,55.2,53.2,56.8,46.4,48.0
6,52.4,49.6,50.4,46.4,54.8,56.8
7,56.8,53.6,52.4,50.8,40.4,52.8
8,48.8,49.6,51.2,49.6,46.8,48.0
9,11.2,15.2,42.4,36.8,21.6,15.2
10,53.2,63.2,53.6,52.8,52.0,56.0
11,44.0,47.6,48.4,52.4,51.2,45.6
12,51.2,50.4,51.6,48.8,56.8,49.2
13,41.6,51.6,54.0,51.6,51.2,43.2
14,44.8,50.8,46.8,47.2,47.2,44.8
15,51.2,50.4,46.4,47.6,48.0,51.6
16,57.2,58.4,44.8,50.4,49.2,56.4
17,52.8,55.6,56.8,56.8,49.6,58.0
18,54.8,53.6,45.6,45.2,60.4,53.2
19,50.4,51.2,49.2,50.8,44.4,51.2
20,57.2,53.6,49.2,50.8,56.4,53.6
21,52.0,53.2,52.4,49.6,48.4,51.2
22,59.2,48.4,52.4,55.2,51.6,52.0
23,52.0,52.4,55.2,54.4,51.2,48.4
24,45.6,48.4,52.0,52.8,50.0,41.6
25,43.2,54.0,51.2,49.2,50.4,51.6
26,38.4,40.4,46.0,48.0,37.6,37.2
27,46.4,40.4,53.6,50.8,40.8,45.2
Mean,48.8,49.82,49.94,49.48,48.68,48.56
SD,9.04,8.49,3.72,4.51,7.45,8.23
