test_subject,C1,C2,C3,C4,C5,C6
1,52.0,48.8,52.4,51.6,50.8,52.4
2,59.6,55.2,48.8,50.0,56.0,58.4
3,49.6,54.4,47.2,48.8,52.4,51.2
4,41.6,40.8,42.0,45.6,43.2,40.8
5,52.8,50.4,52.0,52.8,50.8,54.0
6,51.6,52.4,53.6,56.4,54.4,52.4
7,54.8,50.0,53.6,52.0,48.0,52.4
8,54.8,50.8,52.4,49.6,53.6,54.8
9,20.0,29.2,47.6,49.6,26.0,24.0
10,60.4,56.8,50.4,48.8,61.6,63.6
11,48.4,50.4,52.4,50.4,47.2,48.0
12,59.2,62.0,52.4,54.0,61.2,60.4
13,46.4,50.8,52.4,53.6,48.8,48.0
14,47.6,49.6,53.2,56.8,44.8,46.8
15,50.4,53.2,55.6,54.0,48.8,51.6
16,59.2,56.8,53.6,55.2,58.0,55.6
17,52.8,56.8,53.6,53.2,51.6,53.6
18,48.8,50.4,48.0,49.6,62.4,52.8
19,51.6,51.6,52.8,48.8,48.8,51.2
20,56.0,54.8,52.0,54.0,51.6,57.6
21,54.8,59.2,55.2,54.8,58.8,54.0
22,52.8,48.0,54.8,54.8,52.8,55.6
23,51.6,53.6,58.8,60.4,47.6,50.8
24,46.8,49.2,52.0,49.6,47.6,46.0
25,52.8,52.0,53.2,54.0,68.8,51.2
26,41.2,36.4,47.2,45.2,40.0,42.8
27,43.2,44.0,50.0,50.4,44.0,40.8
Mean,50.4,50.65,51.75,52.0,51.1,50.77
SD,7.94,6.81,3.33,3.45,8.27,7.6
