test_subject,C1,C2,C3,C4,C5,C6
1,52.8,49.2,49.6,49.2,52.8,52.4
2,58.8,51.2,47.6,50.4,56.8,58.4
3,48.0,52.8,50.4,54.8,52.4,51.2
4,40.8,42.8,43.6,42.0,42.4,40.8
5,52.8,54.8,53.6,52.4,51.2,54.0
6,55.2,54.0,45.2,47.2,55.2,52.4
7,54.0,41.2,46.0,46.4,49.2,52.4
8,55.6,44.0,49.6,49.6,54.4,54.8
9,22.8,30.0,40.8,42.0,28.0,24.0
10,60.8,54.8,49.2,48.4,60.4,63.6
11,46.4,50.4,54.4,54.8,48.0,48.0
12,61.2,53.2,48.0,54.4,60.0,60.4
13,47.2,51.6,48.4,52.4,46.8,48.0
14,48.8,54.4,54.4,56.4,44.0,46.8
15,51.2,48.0,49.2,47.2,50.0,51.6
16,57.6,54.8,47.2,48.0,55.6,55.6
17,53.2,50.4,54.4,50.0,50.8,53.6
18,54.8,47.6,44.8,44.0,59.6,52.8
19,51.6,48.8,52.8,53.6,48.4,51.2
20,57.2,50.0,52.8,53.2,53.6,57.6
21,54.4,55.2,55.2,57.6,57.6,54.0
22,57.2,52.0,53.6,54.0,52.4,55.6
23,51.2,52.0,54.0,51.6,46.0,50.8
24,44.4,54.4,55.2,56.4,46.0,46.0
25,50.8,52.0,52.8,48.4,68.4,51.2
26,40.4,43.2,52.4,48.8,39.6,42.8
27,42.8,44.4,48.0,44.8,44.4,40.8
Mean,50.81,49.53,50.12,50.3,50.89,50.77
SD,7.94,5.66,3.93,4.33,7.85,7.6
