,LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%)
C,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
S1,62.0,67.2,66.0,63.2,62.4,63.6,62.8,67.2,64.8,64.4,64.8,65.6
S2,95.6,92.8,82.4,86.8,97.6,98.8,96.4,94.0,83.6,87.6,97.6,98.4
S3,57.2,56.8,54.4,58.4,59.6,60.4,61.2,58.8,54.0,56.4,58.8,59.2
S4,87.6,85.2,83.2,84.4,87.2,85.2,87.2,86.8,83.2,84.8,86.8,85.6
S5,51.2,58.4,56.8,55.2,58.8,52.4,53.2,58.0,54.0,51.6,57.2,53.6
S6,58.8,52.4,50.8,50.4,56.4,56.8,58.8,54.8,52.4,56.8,53.6,57.6
S7,73.6,79.2,68.8,73.6,81.2,74.4,73.2,80.4,70.8,75.2,80.8,77.2
S8,56.0,58.4,52.8,52.4,59.2,50.8,55.6,58.4,54.4,54.0,60.4,54.0
S9,93.6,97.2,93.6,92.4,94.0,96.0,94.4,97.2,92.4,93.2,94.0,94.8
S10,70.8,76.4,70.4,71.2,78.0,74.0,70.4,76.8,71.6,70.4,78.4,71.6
S11,73.6,77.2,72.4,74.0,76.4,72.0,75.2,78.4,73.6,72.4,77.2,74.4
S12,74.4,76.8,74.4,76.0,71.6,79.6,76.4,78.4,76.4,77.2,74.0,79.2
S13,90.8,89.2,81.6,82.0,90.8,92.8,90.4,89.6,82.8,84.0,92.0,92.4
S14,61.6,67.6,62.4,66.0,69.2,64.4,64.0,69.6,65.6,64.4,71.2,64.4
S15,68.0,63.6,57.6,56.8,60.0,70.4,64.4,66.0,57.6,57.2,63.6,68.0
S16,71.6,72.8,67.6,70.4,72.8,70.4,71.6,72.4,69.6,72.8,74.0,71.2
S17,63.2,54.0,52.8,54.8,60.4,59.6,65.6,57.6,55.2,60.0,60.0,59.6
S18,81.6,85.6,80.4,80.8,84.8,82.4,82.4,85.6,81.2,81.2,85.2,82.4
S19,58.4,54.0,54.8,53.2,53.6,58.8,60.0,61.2,56.0,58.0,56.4,60.8
S20,59.2,64.8,63.2,63.6,64.8,57.6,58.4,67.6,64.4,65.2,64.8,58.4
S21,70.0,66.0,62.4,62.0,71.6,66.4,67.6,66.8,63.6,64.4,71.6,68.0
S22,79.2,82.0,78.0,80.0,81.6,82.0,77.6,84.0,78.0,79.2,81.2,78.8
S23,55.2,58.0,53.2,53.2,63.6,54.4,56.8,57.6,53.6,54.4,62.4,54.4
S24,62.0,66.0,64.0,65.2,68.0,62.4,65.6,67.6,63.2,66.4,70.4,64.4
S25,94.0,93.6,87.2,87.6,97.2,96.4,94.0,93.2,86.4,88.0,96.0,96.4
S26,74.8,83.2,80.4,79.6,78.0,77.2,75.2,81.6,80.0,82.0,77.2,78.8
S27,73.2,81.6,71.6,73.2,78.4,74.4,73.6,81.2,68.8,74.0,79.6,73.6
Mean,71.01,72.59,68.27,69.13,73.23,71.61,71.56,73.73,68.79,70.19,73.67,71.96
SD,12.95,13.42,12.1,12.43,12.98,14.01,12.58,12.73,11.88,12.06,12.83,13.44
