,LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%)
C,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
S1,56.8,47.6,54.8,53.2,62.4,63.6,59.6,57.2,55.2,55.6,64.8,65.6
S2,95.6,53.6,59.6,57.6,97.6,98.8,95.6,58.0,60.0,59.2,97.6,98.4
S3,52.4,45.6,54.8,56.0,59.6,60.4,54.8,53.6,54.8,57.2,58.8,59.2
S4,82.4,80.4,77.6,80.0,87.2,85.2,81.6,79.6,79.6,81.2,86.8,85.6
S5,48.0,34.8,46.0,47.2,58.8,52.4,48.4,50.0,44.8,47.2,57.2,53.6
S6,55.2,37.6,44.4,45.6,56.4,56.8,56.4,50.4,45.2,48.4,53.6,57.6
S7,68.0,64.4,61.6,64.8,81.2,74.4,70.8,68.0,65.6,69.2,80.8,77.2
S8,54.8,46.0,50.4,52.4,59.2,50.8,57.6,54.8,52.4,54.0,60.4,54.0
S9,90.8,89.6,82.4,84.0,94.0,96.0,90.4,88.4,81.2,84.0,94.0,94.8
S10,68.8,60.0,64.0,62.4,78.0,74.0,70.4,62.4,63.6,62.0,78.4,71.6
S11,52.0,27.2,62.4,58.4,76.4,72.0,57.6,49.2,62.8,58.4,77.2,74.4
S12,70.0,61.2,62.0,63.6,71.6,79.6,73.2,70.0,62.8,66.8,74.0,79.2
S13,83.2,55.2,59.6,57.2,90.8,92.8,82.8,58.0,58.0,58.8,92.0,92.4
S14,65.6,63.2,62.8,62.8,69.2,64.4,63.6,64.4,64.0,63.6,71.2,64.4
S15,62.8,32.0,50.0,52.8,60.0,70.4,62.0,46.0,52.8,52.4,63.6,68.0
S16,66.0,54.8,62.8,60.4,72.8,70.4,64.8,63.2,62.4,60.4,74.0,71.2
S17,50.0,51.6,51.2,49.6,60.4,59.6,54.8,50.8,51.2,50.8,60.0,59.6
S18,75.6,73.6,68.4,69.6,84.8,82.4,74.8,74.4,67.6,70.8,85.2,82.4
S19,47.6,35.2,52.0,52.4,53.6,58.8,48.8,49.2,52.4,53.2,56.4,60.8
S20,55.2,50.8,57.2,57.2,64.8,57.6,57.2,53.6,58.8,58.0,64.8,58.4
S21,64.4,62.4,61.2,63.2,71.6,66.4,66.4,59.2,60.0,63.2,71.6,68.0
S22,76.8,67.6,66.8,69.2,81.6,82.0,76.0,69.6,68.8,69.6,81.2,78.8
S23,61.2,57.6,62.0,60.8,63.6,54.4,62.0,60.8,62.0,62.0,62.4,54.4
S24,56.4,41.6,50.4,52.4,68.0,62.4,56.4,48.4,52.0,55.2,70.4,64.4
S25,89.2,71.2,65.6,67.2,97.2,96.4,88.4,70.4,63.6,67.6,96.0,96.4
S26,74.8,62.8,62.8,66.4,78.0,77.2,74.8,68.8,64.8,66.8,77.2,78.8
S27,62.8,64.8,62.8,62.0,78.4,74.4,65.2,64.8,61.6,62.8,79.6,73.6
Mean,66.16,55.27,59.84,60.31,73.23,71.61,67.2,60.86,60.3,61.42,73.67,71.96
SD,13.57,15.04,8.66,8.98,12.98,14.01,12.63,10.46,8.56,8.85,12.83,13.44
