test_subject,C1,C2,C3,C4,C5,C6
1,52.8,49.6,46.8,48.0,50.8,52.4
2,59.2,52.0,48.0,50.4,56.0,58.4
3,48.0,51.2,50.8,54.4,52.4,51.2
4,40.4,40.8,43.2,42.0,43.2,40.8
5,53.2,55.6,53.6,53.6,50.8,54.0
6,55.2,52.0,48.0,49.2,54.4,52.4
7,54.4,42.4,45.2,48.8,48.0,52.4
8,55.6,42.4,48.4,49.2,53.6,54.8
9,22.8,27.2,38.8,40.8,26.0,24.0
10,60.8,54.0,50.8,46.4,61.6,63.6
11,46.0,49.2,56.4,54.8,47.2,48.0
12,60.8,52.8,48.8,52.8,61.2,60.4
13,47.2,52.8,48.0,50.8,48.8,48.0
14,48.8,56.4,52.8,54.0,44.8,46.8
15,51.2,46.0,50.4,48.8,48.8,51.6
16,57.6,52.4,47.6,46.4,58.0,55.6
17,52.8,52.0,53.6,52.0,51.6,53.6
18,54.4,47.2,48.0,48.4,62.4,52.8
19,51.6,48.8,53.6,54.4,48.8,51.2
20,57.2,50.4,54.8,55.2,51.6,57.6
21,54.4,54.0,54.8,55.6,58.8,54.0
22,57.2,52.0,54.8,57.2,52.8,55.6
23,51.2,53.2,53.6,54.0,47.6,50.8
24,44.4,52.8,56.4,56.4,47.6,46.0
25,51.2,52.0,52.4,48.8,68.8,51.2
26,40.4,43.6,50.8,46.0,40.0,42.8
27,43.2,46.4,48.4,48.4,44.0,40.8
Mean,50.81,49.23,50.33,50.62,51.1,50.77
SD,7.95,6.04,4.16,4.23,8.27,7.6
